symbol,asOfDate,TotalRevenue,StockholdersEquity,TotalAssets,capitalAdequacyRatio,ROE
1758.T,2021-01-31,13308092000.0,7298641000.0,10074557000.0,0.7244627232740855,0.05970919791780415
1758.T,2022-01-31,12933901000.0,7868839000.0,10556130000.0,0.7454283908970427,0.06024078012016766
1758.T,2023-01-31,14709754000.0,8619670000.0,12171696000.0,0.7081732899014238,0.07117627472977504
1762.T,2020-03-31,282366000000.0,110105000000.0,211431000000.0,0.5207609101787344,0.07899732073929432
1762.T,2021-03-31,283080000000.0,115716000000.0,220831000000.0,0.5240025177624519,0.06452867364927926
1762.T,2022-03-31,263907000000.0,121432000000.0,236719000000.0,0.512979524246047,0.0553972593715001
1762.T,2023-03-31,282495000000.0,127722000000.0,233963000000.0,0.5459068314220624,0.05898748845148056
1764.T,2020-06-30,18650870000.0,4146471000.0,13889867000.0,0.2985248886832394,0.09893135632686205
1764.T,2021-06-30,19801167000.0,4394746000.0,13560189000.0,0.32409179547571204,0.08094096905714232
1764.T,2022-06-30,17009361000.0,4678487000.0,14094086000.0,0.33194681797741266,0.025875031821184925
1766.T,2020-04-30,323385000000.0,98000000000.0,189927000000.0,0.5159877215982983,0.08781632653061225
1766.T,2021-04-30,309809000000.0,105516000000.0,194424000000.0,0.5427107764473522,0.09553053565336063
1766.T,2022-04-30,311586000000.0,113423000000.0,194153000000.0,0.5841939089274953,0.09059009195665782
1768.T,2020-03-31,15856688000.0,6763550000.0,11294624000.0,0.5988291420767969,0.0798134115959814
1768.T,2021-03-31,16298974000.0,7596754000.0,11257870000.0,0.6747949656551373,0.1141001801558929
1768.T,2022-03-31,17158961000.0,8113476000.0,11290769000.0,0.7185937468032514,0.09861950660851157
1770.T,2020-03-31,29087314000.0,13180812000.0,25040517000.0,0.5263793874543405,0.08580829466348507
1770.T,2021-03-31,26250632000.0,14363490000.0,26049081000.0,0.5514010263932152,0.08210692526677012
1770.T,2022-03-31,27708983000.0,15519164000.0,27190870000.0,0.5707490786429416,0.08843891333321821
1770.T,2023-03-31,27164885000.0,16443757000.0,29115187000.0,0.5647828056196239,0.07758914218934274
1773.T,2020-06-30,19178449000.0,12460336000.0,69908435000.0,0.17823794796722311,-0.01518586657695266
1773.T,2021-06-30,17270419000.0,12788485000.0,73863566000.0,0.17313657724025944,-0.028749613421761844
1773.T,2022-06-30,24241503000.0,12938529000.0,72342784000.0,0.17885030523569564,0.04215270530367092
1775.T,2020-03-31,81986000000.0,24981000000.0,55157000000.0,0.4529071559366898,0.14723189624114327
1775.T,2021-03-31,74168000000.0,28478000000.0,56558000000.0,0.5035185119700131,0.13701804902029638
1775.T,2022-03-31,82050000000.0,32941000000.0,62654000000.0,0.5257605260637789,0.1398561063719984
1775.T,2023-03-31,88109000000.0,36890000000.0,70200000000.0,0.5254985754985755,0.12296015180265654
1776.T,2020-03-31,33384000000.0,11520000000.0,27111000000.0,0.4249197742613699,0.09010416666666667
1776.T,2021-03-31,33796000000.0,12542000000.0,27548000000.0,0.4552780601132569,0.09472173497049913
1776.T,2022-03-31,31535000000.0,12971000000.0,26693000000.0,0.48593264151650245,0.04833860149564413
1776.T,2023-03-31,31914000000.0,13356000000.0,28164000000.0,0.47422241158926287,0.04716981132075472
1780.T,2020-03-31,23769351000.0,14884288000.0,21267921000.0,0.6998468726679961,0.06409792661899581
1780.T,2021-03-31,24829358000.0,16422106000.0,23614463000.0,0.6954257651338503,0.06956647338654372
1780.T,2022-03-31,27946370000.0,17793650000.0,24501928000.0,0.726214279953806,0.08402115361378919
1783.T,2019-09-30,3300893000.0,7792094000.0,14182681000.0,0.549409099732272,-0.004716062203561713
1783.T,2020-09-30,2474885000.0,3783769000.0,10296893000.0,0.36746706020932723,-0.9840828020949481
1783.T,2021-09-30,6894583000.0,3366707000.0,5291867000.0,0.6362040089064974,-0.2902595919395421
1783.T,2022-09-30,5027291000.0,5227670000.0,7471517000.0,0.6996798642096378,-0.15372814274810767
1786.T,2020-03-31,47998000000.0,27649000000.0,44777000000.0,0.6174821895169395,0.09504864552063366
1786.T,2021-03-31,55224000000.0,30838000000.0,55611000000.0,0.5545305784826743,0.12202477462870484
1786.T,2022-03-31,60726000000.0,38988000000.0,60952000000.0,0.6396508728179551,0.09690161075202626
1786.T,2023-03-31,61480000000.0,41616000000.0,66787000000.0,0.6231152769251501,0.09424259900038447
1787.T,2020-03-31,11019656000.0,7122936000.0,10576069000.0,0.6734956059760957,0.06548310977383484
