ticker,ticker_name,market_product_category,type_33,type_17,dividendRate,dividendYield,fiveYearAvgDividendYield,payoutRatio,MarketCap,totalRevenue,ROE
3068.T,ＷＤＩ,スタンダード（内国株式）,小売業,小売 ,24.0,0.0109,0.72,0.0802,13875126272.0,26173999104.0,0.2607
3069.T,ＪＦＬＡホールディングス,スタンダード（内国株式）,小売業,小売 ,,,,0.0,15059980288.0,76713000960.0,-0.29462
3070.T,アマガサ,グロース（内国株式）,卸売業,商社・卸売 ,,,,0.0,2746228736.0,1256000000.0,-2.74569
3071.T,ストリーム,スタンダード（内国株式）,小売業,小売 ,6.0,0.052199997,,0.9202,3165466112.0,28793999360.0,0.02782
3073.T,ＤＤグループ,プライム（内国株式）,小売業,小売 ,,,,0.0,23879176192.0,32234999808.0,0.16033001
3075.T,銚子丸,スタンダード（内国株式）,小売業,小売 ,12.0,0.010199999,,0.1251,16164819968.0,19310000128.0,0.06868
3076.T,あい　ホールディングス,プライム（内国株式）,卸売業,商社・卸売 ,80.0,0.0358,2.48,0.43080002,106181795840.0,47803998208.0,0.1263
3077.T,ホリイフードサービス,スタンダード（内国株式）,小売業,小売 ,,,,0.0,2749736704.0,4052999936.0,-1.11647
3079.T,ディーブイエックス,スタンダード（内国株式）,卸売業,商社・卸売 ,60.0,0.0675,2.64,0.3332,9101925376.0,47482998784.0,0.10459
3080.T,ジェーソン,スタンダード（内国株式）,小売業,小売 ,26.0,0.051,2.45,0.2777,6495532032.0,27225999360.0,0.109560005
3082.T,きちりホールディングス,スタンダード（内国株式）,小売業,小売 ,5.0,0.0058999998,,,8474290176.0,10145000448.0,-0.66888
3083.T,シーズメン,スタンダード（内国株式）,小売業,小売 ,,,,0.0,1951581184.0,6304999936.0,-0.3017
3085.T,アークランドサービスホールディングス,プライム（内国株式）,小売業,小売 ,30.0,0.0104,1.17,0.3449,92575014912.0,48547999744.0,0.11946999
3086.T,Ｊ．フロント　リテイリング,プライム（内国株式）,小売業,小売 ,33.0,0.0238,2.9,0.5709,361950642176.0,371230015488.0,0.039890002
3087.T,ドトール・日レスホールディングス,プライム（内国株式）,小売業,小売 ,32.0,0.0155,1.63,0.3868,90870456320.0,126863998976.0,0.03635
3088.T,マツキヨココカラ＆カンパニー,プライム（内国株式）,小売業,小売 ,90.0,0.0114,1.53,0.24309999,1114510983168.0,951246979072.0,0.08609
3089.T,テクノアルファ,スタンダード（内国株式）,卸売業,商社・卸売 ,70.0,0.060300004,2.96,0.1839,2067775232.0,4599000064.0,0.14545
3091.T,ブロンコビリー,プライム（内国株式）,小売業,小売 ,16.0,0.0058999998,0.86,0.4013,40602542080.0,20700000256.0,0.03348
3092.T,ＺＯＺＯ,プライム（内国株式）,小売業,小売 ,86.0,0.0299,1.41,0.49310002,855492001792.0,183422992384.0,0.59944
3093.T,トレジャー・ファクトリー,プライム（内国株式）,小売業,小売 ,22.0,0.0128999995,1.64,0.2467,42901307392.0,28212000768.0,0.29213
3094.T,スーパーバリュー,スタンダード（内国株式）,小売業,小売 ,,,,0.0,12685673472.0,53221998592.0,0.123950005
3096.T,オーシャンシステム,スタンダード（内国株式）,小売業,小売 ,14.0,0.014400001,1.31,0.3679,9131357184.0,77710000128.0,0.03995
3097.T,物語コーポレーション,プライム（内国株式）,小売業,小売 ,23.67,0.0069,0.96,0.195,121233121280.0,87642996736.0,0.18311001
3099.T,三越伊勢丹ホールディングス,プライム（内国株式）,小売業,小売 ,16.0,0.0109,1.23,0.16540001,557971996672.0,487406993408.0,0.060489997
3101.T,東洋紡,プライム（内国株式）,繊維製品,素材・化学 ,80.0,0.074099995,3.65,,98129960960.0,399920988160.0,-0.00386
3103.T,ユニチカ,プライム（内国株式）,繊維製品,素材・化学 ,,,,0.0,13496886272.0,117942001664.0,-0.00044
3104.T,富士紡ホールディングス,プライム（内国株式）,繊維製品,素材・化学 ,110.0,0.0347,3.31,0.3709,36638343168.0,37668999168.0,0.081499994
3105.T,日清紡ホールディングス,プライム（内国株式）,電気機器,電機・精密 ,36.0,0.0297,3.37,0.2706,188916711424.0,521179987968.0,0.06898
3106.T,倉敷紡績,プライム（内国株式）,繊維製品,素材・化学 ,70.0,0.0312,3.51,0.24379998,42594897920.0,153521995776.0,0.055609997
3107.T,ダイワボウホールディングス,プライム（内国株式）,卸売業,商社・卸売 ,64.0,0.023699999,3.14,0.3057,251466219520.0,903917993984.0,0.13637
3109.T,シキボウ,プライム（内国株式）,繊維製品,素材・化学 ,100.0,0.098000005,4.26,0.3474,11905805312.0,37893001216.0,0.04856
3110.T,日東紡績,プライム（内国株式）,ガラス・土石製品,建設・資材 ,45.0,0.019299999,1.52,0.6086,84142587904.0,87528996864.0,0.02661
3111.T,オーミケンシ,スタンダード（内国株式）,繊維製品,素材・化学 ,,,,0.0,2104589696.0,3121999872.0,-0.35059
