ticker,ticker_name,market_product_category,type_33,type_17,dividendRate,dividendYield,fiveYearAvgDividendYield,payoutRatio,MarketCap,totalRevenue,ROE
3178.T,チムニー,スタンダード（内国株式）,小売業,小売 ,0.0,0.0,0.0,0.0,26142015488.0,20155000832.0,-0.38
3179.T,シュッピン,プライム（内国株式）,小売業,小売 ,66.0,5.71,1.8,37.4,23334246400.0,45617999872.0,0.28
3180.T,ビューティガレージ,プライム（内国株式）,卸売業,商社・卸売 ,24.0,0.53,0.48,12.26,28711591936.0,26428999680.0,0.15
3181.T,買取王国,スタンダード（内国株式）,小売業,小売 ,16.0,1.13,0.0,10.52,4779060224.0,5864999936.0,0.12
3182.T,オイシックス・ラ・大地,プライム（内国株式）,小売業,小売 ,0.0,0.0,0.0,0.0,87081394176.0,115175997440.0,0.06
3183.T,ウイン・パートナーズ,プライム（内国株式）,卸売業,商社・卸売 ,100.0,9.61,3.22,49.97,29783844864.0,70854000640.0,0.09
3184.T,ＩＣＤＡホールディングス,スタンダード（内国株式）,小売業,小売 ,100.0,3.69,2.91,10.1,5877312000.0,30496000000.0,0.11
3185.T,夢展望,グロース（内国株式）,小売業,小売 ,0.0,0.0,0.0,0.0,2293792768.0,5184000000.0,-0.49
3186.T,ネクステージ,プライム（内国株式）,小売業,小売 ,64.0,1.73,0.55,14.31,299159486464.0,465612996608.0,0.24
3187.T,サンワカンパニー,グロース（内国株式）,小売業,小売 ,13.0,1.93,1.01,28.34,12084252672.0,13256999936.0,0.0
3189.T,ＡＮＡＰ,スタンダード（内国株式）,小売業,小売 ,0.0,0.0,0.0,0.0,1472048768.0,4798000128.0,-6.65
3190.T,ホットマン,スタンダード（内国株式）,小売業,小売 ,20.0,3.31,2.1,37.66,4261521920.0,20768999424.0,0.0
3191.T,ジョイフル本田,プライム（内国株式）,小売業,小売 ,46.0,2.81,2.29,26.2,106964082688.0,154984005632.0,0.01
3192.T,白鳩,スタンダード（内国株式）,小売業,小売 ,0.0,0.0,0.0,0.0,2189810944.0,6353999872.0,0.03
3193.T,鳥貴族ホールディングス,プライム（内国株式）,小売業,小売 ,12.0,0.46,0.0,22.33,30385571840.0,31196999680.0,0.06
3195.T,ジェネレーションパス,グロース（内国株式）,小売業,小売 ,18.0,6.21,0.0,36.86,2386556672.0,16058000384.0,0.11
3196.T,ホットランド,プライム（内国株式）,小売業,小売 ,14.0,0.84,0.0,13.32,35254829056.0,33688999936.0,0.11
3197.T,すかいらーくホールディングス,プライム（内国株式）,小売業,小売 ,6.0,0.34,0.0,0.0,398355988480.0,321136001024.0,-0.04
3198.T,ＳＦＰホールディングス,プライム（内国株式）,小売業,小売 ,20.0,0.93,0.0,93.81,56270286848.0,22912999424.0,0.04
3199.T,綿半ホールディングス,プライム（内国株式）,小売業,小売 ,45.0,3.35,1.51,26.46,26777458688.0,134299000832.0,0.08
3201.T,日本毛織,プライム（内国株式）,繊維製品,素材・化学 ,30.0,2.94,2.73,31.08,72320876544.0,108970000384.0,0.06
3202.T,ダイトウボウ,スタンダード（内国株式）,繊維製品,素材・化学 ,3.0,3.19,0.0,0.0,2809102080.0,3996999936.0,0.01
3204.T,トーア紡コーポレーション,スタンダード（内国株式）,繊維製品,素材・化学 ,24.0,5.43,3.61,29.09,4057740032.0,17581000704.0,0.03
3205.T,ダイドーリミテッド,スタンダード（内国株式）,繊維製品,素材・化学 ,4.0,1.33,0.0,0.0,9813766144.0,28217999360.0,0.61
3221.T,ヨシックスホールディングス,プライム（内国株式）,小売業,小売 ,24.0,0.95,0.0,25.58,25933105152.0,17089000448.0,0.11
3222.T,ユナイテッド・スーパーマーケット・ホールディングス,スタンダード（内国株式）,小売業,小売 ,16.0,1.45,1.47,153.85,143230795776.0,708689985536.0,0.01
3223.T,エスエルディー,スタンダード（内国株式）,小売業,小売 ,0.0,0.0,0.0,0.0,1128414976.0,3089999872.0,-0.66
3224.T,ゼネラル・オイスター,グロース（内国株式）,小売業,小売 ,0.0,0.0,0.0,0.0,6099580416.0,3764000000.0,0.12
3228.T,三栄建築設計,プライム（内国株式）,不動産業,不動産 ,75.0,5.24,3.86,28.56,30637492224.0,139229003776.0,0.1
3231.T,野村不動産ホールディングス,プライム（内国株式）,不動産業,不動産 ,130.0,3.77,3.37,32.94,604069494784.0,654734983168.0,0.1
3232.T,三重交通グループホールディングス,プライム（内国株式）,不動産業,不動産 ,10.0,1.81,1.71,26.47,55111458816.0,93124001792.0,0.07
3236.T,プロパスト,スタンダード（内国株式）,不動産業,不動産 ,4.0,2.29,1.34,4.36,5988132352.0,17496000512.0,0.0
3237.T,イントランス,グロース（内国株式）,不動産業,不動産 ,0.0,0.0,0.0,0.0,2187165440.0,598000000.0,-0.53
3238.T,セントラル総合開発,スタンダード（内国株式）,不動産業,不動産 ,36.0,7.23,3.47,16.92,4727718400.0,30390999040.0,0.1
3241.T,ウィル,スタンダード（内国株式）,不動産業,不動産 ,33.0,8.48,4.56,27.35,4390750208.0,10033999872.0,0.17
3242.T,アーバネットコーポレーション,スタンダード（内国株式）,不動産業,不動産 ,17.0,5.07,5.57,54.19,10478915584.0,16567000064.0,0.07
3244.T,サムティ,プライム（内国株式）,不動産業,不動産 ,90.0,4.02,4.63,45.04,104999206912.0,147845005312.0,0.1
3245.T,ディア・ライフ,プライム（内国株式）,不動産業,不動産 ,80.0,9.59,5.97,40.99,36388458496.0,52105998336.0,0.23
3246.T,コーセーアールイー,スタンダード（内国株式）,不動産業,不動産 ,72.0,9.0,3.53,26.66,8084812800.0,11699999744.0,0.16
3248.T,アールエイジ,スタンダード（内国株式）,不動産業,不動産 ,32.0,4.35,4.53,31.96,2331533824.0,3273999872.0,0.08
3252.T,地主,プライム（内国株式）,不動産業,不動産 ,110.0,5.89,3.23,31.47,34066259968.0,38356000768.0,0.1
3254.T,プレサンスコーポレーション,スタンダード（内国株式）,不動産業,不動産 ,38.0,1.9,2.34,14.79,137764585472.0,159034998784.0,0.0
3261.T,グランディーズ,グロース（内国株式）,不動産業,不動産 ,28.0,8.14,3.74,57.92,1186513536.0,3302000128.0,0.0
